F,T,M
0.0,0.0,LR.S.lbfgs
0.0,0.004166666666666667,LR.S.lbfgs
0.0,0.21666666666666667,LR.S.lbfgs
0.005263157894736842,0.21666666666666667,LR.S.lbfgs
0.005263157894736842,0.24166666666666667,LR.S.lbfgs
0.010526315789473684,0.24166666666666667,LR.S.lbfgs
0.010526315789473684,0.25,LR.S.lbfgs
0.015789473684210527,0.25,LR.S.lbfgs
0.015789473684210527,0.2708333333333333,LR.S.lbfgs
0.021052631578947368,0.2708333333333333,LR.S.lbfgs
0.021052631578947368,0.2833333333333333,LR.S.lbfgs
0.02631578947368421,0.2833333333333333,LR.S.lbfgs
0.02631578947368421,0.31666666666666665,LR.S.lbfgs
0.031578947368421054,0.31666666666666665,LR.S.lbfgs
0.031578947368421054,0.32916666666666666,LR.S.lbfgs
0.03684210526315789,0.32916666666666666,LR.S.lbfgs
0.03684210526315789,0.3375,LR.S.lbfgs
0.04736842105263158,0.3375,LR.S.lbfgs
0.04736842105263158,0.3458333333333333,LR.S.lbfgs
0.05263157894736842,0.3458333333333333,LR.S.lbfgs
0.05263157894736842,0.37916666666666665,LR.S.lbfgs
0.05789473684210526,0.37916666666666665,LR.S.lbfgs
0.05789473684210526,0.38333333333333336,LR.S.lbfgs
0.07368421052631578,0.38333333333333336,LR.S.lbfgs
0.07368421052631578,0.4083333333333333,LR.S.lbfgs
0.08421052631578947,0.4083333333333333,LR.S.lbfgs
0.08421052631578947,0.425,LR.S.lbfgs
0.08947368421052632,0.425,LR.S.lbfgs
0.08947368421052632,0.42916666666666664,LR.S.lbfgs
0.09473684210526316,0.42916666666666664,LR.S.lbfgs
0.09473684210526316,0.43333333333333335,LR.S.lbfgs
0.1,0.43333333333333335,LR.S.lbfgs
0.1,0.4375,LR.S.lbfgs
0.11052631578947368,0.4375,LR.S.lbfgs
0.11052631578947368,0.44583333333333336,LR.S.lbfgs
0.11578947368421053,0.44583333333333336,LR.S.lbfgs
0.11578947368421053,0.45,LR.S.lbfgs
0.12105263157894737,0.45,LR.S.lbfgs
0.12105263157894737,0.45416666666666666,LR.S.lbfgs
0.12631578947368421,0.45416666666666666,LR.S.lbfgs
0.12631578947368421,0.49166666666666664,LR.S.lbfgs
0.13157894736842105,0.49166666666666664,LR.S.lbfgs
0.13157894736842105,0.5041666666666667,LR.S.lbfgs
0.14210526315789473,0.5041666666666667,LR.S.lbfgs
0.14210526315789473,0.5083333333333333,LR.S.lbfgs
0.14736842105263157,0.5083333333333333,LR.S.lbfgs
0.14736842105263157,0.5166666666666667,LR.S.lbfgs
0.15263157894736842,0.5166666666666667,LR.S.lbfgs
0.15263157894736842,0.5416666666666666,LR.S.lbfgs
0.15789473684210525,0.5416666666666666,LR.S.lbfgs
0.15789473684210525,0.5666666666666667,LR.S.lbfgs
0.1631578947368421,0.5666666666666667,LR.S.lbfgs
0.1631578947368421,0.5708333333333333,LR.S.lbfgs
0.16842105263157894,0.5708333333333333,LR.S.lbfgs
0.16842105263157894,0.575,LR.S.lbfgs
0.17894736842105263,0.575,LR.S.lbfgs
0.17894736842105263,0.5875,LR.S.lbfgs
0.18421052631578946,0.5875,LR.S.lbfgs
0.18421052631578946,0.5958333333333333,LR.S.lbfgs
0.18947368421052632,0.5958333333333333,LR.S.lbfgs
0.18947368421052632,0.6,LR.S.lbfgs
0.19473684210526315,0.6,LR.S.lbfgs
0.19473684210526315,0.6166666666666667,LR.S.lbfgs
0.21052631578947367,0.6166666666666667,LR.S.lbfgs
0.21052631578947367,0.6458333333333334,LR.S.lbfgs
0.21578947368421053,0.6458333333333334,LR.S.lbfgs
0.21578947368421053,0.6666666666666666,LR.S.lbfgs
0.22105263157894736,0.6666666666666666,LR.S.lbfgs
0.22105263157894736,0.6708333333333333,LR.S.lbfgs
0.22631578947368422,0.6708333333333333,LR.S.lbfgs
0.22631578947368422,0.6916666666666667,LR.S.lbfgs
0.23684210526315788,0.6916666666666667,LR.S.lbfgs
0.23684210526315788,0.7,LR.S.lbfgs
0.24210526315789474,0.7,LR.S.lbfgs
0.24210526315789474,0.7083333333333334,LR.S.lbfgs
0.2578947368421053,0.7083333333333334,LR.S.lbfgs
0.2578947368421053,0.7208333333333333,LR.S.lbfgs
0.2631578947368421,0.7208333333333333,LR.S.lbfgs
0.2631578947368421,0.725,LR.S.lbfgs
0.2736842105263158,0.725,LR.S.lbfgs
0.2736842105263158,0.7333333333333333,LR.S.lbfgs
0.2789473684210526,0.7333333333333333,LR.S.lbfgs
0.2789473684210526,0.7375,LR.S.lbfgs
0.2894736842105263,0.7375,LR.S.lbfgs
0.2894736842105263,0.7416666666666667,LR.S.lbfgs
0.29473684210526313,0.7416666666666667,LR.S.lbfgs
