P,R,M
0.34810126582278483,1.0,LR.S.lbfgs
0.3503184713375796,1.0,LR.S.lbfgs
0.3525641025641026,1.0,LR.S.lbfgs
0.3548387096774194,1.0,LR.S.lbfgs
0.35714285714285715,1.0,LR.S.lbfgs
0.35947712418300654,1.0,LR.S.lbfgs
0.3618421052631579,1.0,LR.S.lbfgs
0.36423841059602646,1.0,LR.S.lbfgs
0.36666666666666664,1.0,LR.S.lbfgs
0.3691275167785235,1.0,LR.S.lbfgs
0.36486486486486486,0.9818181818181818,LR.S.lbfgs
0.3673469387755102,0.9818181818181818,LR.S.lbfgs
0.3698630136986301,0.9818181818181818,LR.S.lbfgs
0.3724137931034483,0.9818181818181818,LR.S.lbfgs
0.375,0.9818181818181818,LR.S.lbfgs
0.3776223776223776,0.9818181818181818,LR.S.lbfgs
0.38028169014084506,0.9818181818181818,LR.S.lbfgs
0.3829787234042553,0.9818181818181818,LR.S.lbfgs
0.38571428571428573,0.9818181818181818,LR.S.lbfgs
0.38848920863309355,0.9818181818181818,LR.S.lbfgs
0.391304347826087,0.9818181818181818,LR.S.lbfgs
0.39416058394160586,0.9818181818181818,LR.S.lbfgs
0.39705882352941174,0.9818181818181818,LR.S.lbfgs
0.4,0.9818181818181818,LR.S.lbfgs
0.40298507462686567,0.9818181818181818,LR.S.lbfgs
0.40601503759398494,0.9818181818181818,LR.S.lbfgs
0.4090909090909091,0.9818181818181818,LR.S.lbfgs
0.4122137404580153,0.9818181818181818,LR.S.lbfgs
0.4153846153846154,0.9818181818181818,LR.S.lbfgs
0.4186046511627907,0.9818181818181818,LR.S.lbfgs
0.421875,0.9818181818181818,LR.S.lbfgs
0.4251968503937008,0.9818181818181818,LR.S.lbfgs
0.42857142857142855,0.9818181818181818,LR.S.lbfgs
0.432,0.9818181818181818,LR.S.lbfgs
0.43548387096774194,0.9818181818181818,LR.S.lbfgs
0.43902439024390244,0.9818181818181818,LR.S.lbfgs
0.4426229508196721,0.9818181818181818,LR.S.lbfgs
0.4462809917355372,0.9818181818181818,LR.S.lbfgs
0.45,0.9818181818181818,LR.S.lbfgs
0.453781512605042,0.9818181818181818,LR.S.lbfgs
0.4576271186440678,0.9818181818181818,LR.S.lbfgs
0.46153846153846156,0.9818181818181818,LR.S.lbfgs
0.46551724137931033,0.9818181818181818,LR.S.lbfgs
0.4608695652173913,0.9636363636363636,LR.S.lbfgs
0.4649122807017544,0.9636363636363636,LR.S.lbfgs
0.4690265486725664,0.9636363636363636,LR.S.lbfgs
0.4732142857142857,0.9636363636363636,LR.S.lbfgs
0.4774774774774775,0.9636363636363636,LR.S.lbfgs
0.4818181818181818,0.9636363636363636,LR.S.lbfgs
0.48623853211009177,0.9636363636363636,LR.S.lbfgs
0.49074074074074076,0.9636363636363636,LR.S.lbfgs
0.4953271028037383,0.9636363636363636,LR.S.lbfgs
0.5,0.9636363636363636,LR.S.lbfgs
0.5047619047619047,0.9636363636363636,LR.S.lbfgs
0.5096153846153846,0.9636363636363636,LR.S.lbfgs
0.5145631067961165,0.9636363636363636,LR.S.lbfgs
0.5098039215686274,0.9454545454545454,LR.S.lbfgs
0.5148514851485149,0.9454545454545454,LR.S.lbfgs
0.51,0.9272727272727272,LR.S.lbfgs
0.5050505050505051,0.9090909090909091,LR.S.lbfgs
0.5102040816326531,0.9090909090909091,LR.S.lbfgs
0.5154639175257731,0.9090909090909091,LR.S.lbfgs
0.5208333333333334,0.9090909090909091,LR.S.lbfgs
0.5157894736842106,0.8909090909090909,LR.S.lbfgs
0.5212765957446809,0.8909090909090909,LR.S.lbfgs
0.5268817204301075,0.8909090909090909,LR.S.lbfgs
0.532608695652174,0.8909090909090909,LR.S.lbfgs
0.5274725274725275,0.8727272727272727,LR.S.lbfgs
0.5333333333333333,0.8727272727272727,LR.S.lbfgs
0.5393258426966292,0.8727272727272727,LR.S.lbfgs
0.5454545454545454,0.8727272727272727,LR.S.lbfgs
0.5517241379310345,0.8727272727272727,LR.S.lbfgs
0.5581395348837209,0.8727272727272727,LR.S.lbfgs
0.5647058823529412,0.8727272727272727,LR.S.lbfgs
0.5714285714285714,0.8727272727272727,LR.S.lbfgs
0.5783132530120482,0.8727272727272727,LR.S.lbfgs
0.5853658536585366,0.8727272727272727,LR.S.lbfgs
0.5925925925925926,0.8727272727272727,LR.S.lbfgs
0.5875,0.8545454545454545,LR.S.lbfgs
0.5949367088607594,0.8545454545454545,LR.S.lbfgs
0.6025641025641025,0.8545454545454545,LR.S.lbfgs
0.6103896103896104,0.8545454545454545,LR.S.lbfgs
0.618421052631579,0.8545454545454545,LR.S.lbfgs
0.6266666666666667,0.8545454545454545,LR.S.lbfgs
0.6351351351351351,0.8545454545454545,LR.S.lbfgs
0.6301369863013698,0.8363636363636363,LR.S.lbfgs
0.6388888888888888,0.8363636363636363,LR.S.lbfgs
0.647887323943662,0.8363636363636363,LR.S.lbfgs
0.6571428571428571,0.8363636363636363,LR.S.lbfgs
0.6521739130434783,0.8181818181818182,LR.S.lbfgs
0.6617647058823529,0.8181818181818182,LR.S.lbfgs
0.6716417910447762,0.8181818181818182,LR.S.lbfgs
0.6818181818181818,0.8181818181818182,LR.S.lbfgs
0.676923076923077,0.8,LR.S.lbfgs
0.6875,0.8,LR.S.lbfgs
0.6825396825396826,0.7818181818181819,LR.S.lbfgs
0.6935483870967742,0.7818181818181819,LR.S.lbfgs
0.7049180327868853,0.7818181818181819,LR.S.lbfgs
0.7166666666666667,0.7818181818181819,LR.S.lbfgs
